key,value
session_id,FAULT-THERM-02
venue,Home
environment,indoor
ambient_temp_c,21
battery_id,B2
battery_cycles,12
operator_notes,
started_iso,2026-09-02T02:06:21.997323+00:00
dry_run,False
sdk_version,30
serial_number,0TQZGAJED007GD
battery_at_start,85
mode,thermal
battery_at_end,60
ended_iso,2026-09-02T02:08:28.207339+00:00
duration_sec,126.0
