key,value
session_id,FP-02
venue,Home
environment,indoor
ambient_temp_c,22
battery_id,B2
battery_cycles,8
operator_notes,
started_iso,2026-08-31T07:12:30.787856+00:00
dry_run,False
sdk_version,30
serial_number,0TQZGAJED007GD
battery_at_start,89
mode,baseline
battery_at_end,39
ended_iso,2026-08-31T07:17:19.303424+00:00
duration_sec,275.0
