key,value
session_id,FAULT-BAT-03
venue,Home
environment,indoor
ambient_temp_c,20
battery_id,B2
battery_cycles,11
operator_notes,
started_iso,2026-09-02T00:48:31.345990+00:00
dry_run,False
sdk_version,30
serial_number,0TQZGAJED007GD
battery_at_start,92
mode,battery
battery_at_end,9
ended_iso,2026-09-02T00:56:24.838286+00:00
duration_sec,460.0
