key,value
session_id,FAULT-LINK-01
venue,Home
environment,indoor
ambient_temp_c,21
battery_id,B1
battery_cycles,14
operator_notes,
started_iso,2026-09-02T05:15:56.315953+00:00
dry_run,False
sdk_version,30
serial_number,0TQZGAJED007GD
battery_at_start,82
mode,link
battery_at_end,67
ended_iso,2026-09-02T05:19:48.806048+00:00
duration_sec,219.0
