key,value
session_id,FAULT-LINK-02
venue,Home
environment,indoor
ambient_temp_c,21
battery_id,B1
battery_cycles,15
operator_notes,
started_iso,2026-09-02T06:13:09.632349+00:00
dry_run,False
sdk_version,30
serial_number,0TQZGAJED007GD
battery_at_start,100
mode,link
battery_at_end,92
ended_iso,2026-09-02T06:15:44.898795+00:00
duration_sec,155.02
