session,mode,alert,t_onset_elapsed_sec,t_onset_iso,t_alert_elapsed_sec,detection_latency_sec,t_induce_elapsed_sec,transient_crossings,outcome
FAULT-BAT-03_20260902_104831,battery,DroneLowBattery,323.0,2026-09-02T00:54:07.838337+00:00,329.0,6.0,,0,fired
FAULT-BAT-03_20260902_104831,battery,DroneOverTemperature,,,,,,0,-
FAULT-BAT-03_20260902_104831,battery,DroneUnstableAttitude,,,,,,5,-
FAULT-BAT-03_20260902_104831,battery,DronePollFailure,,,,,,0,-
