key,value
session_id,BASE-05
venue,Home
environment,indoor
ambient_temp_c,21
battery_id,B1
battery_cycles,3
operator_notes,
started_iso,2026-08-30T04:42:16.901296+00:00
dry_run,False
sdk_version,30
serial_number,0TQZGAJED007GD
battery_at_start,100
battery_at_end,69
ended_iso,2026-08-30T04:47:06.421992+00:00
duration_sec,276.0
