session,mode,alert,t_onset_elapsed_sec,t_onset_iso,t_alert_elapsed_sec,detection_latency_sec,t_induce_elapsed_sec,transient_crossings,outcome
WARM-01_20260902_114350,baseline,DroneLowBattery,,,,,,0,-
WARM-01_20260902_114350,baseline,DroneOverTemperature,,,,,,0,-
WARM-01_20260902_114350,baseline,DroneUnstableAttitude,,,,,,3,-
WARM-01_20260902_114350,baseline,DronePollFailure,,,,,,0,-
