key,value
session_id,BASE-03
venue,Home
environment,indoor
ambient_temp_c,21
battery_id,B2
battery_cycles,2
operator_notes,
started_iso,2026-08-29T08:01:12.675458+00:00
dry_run,False
sdk_version,30
serial_number,0TQZGAJED007GD
battery_at_start,87
battery_at_end,42
ended_iso,2026-08-29T08:05:57.195714+00:00
duration_sec,271.0
