key,value
session_id,FLIGHT-02
venue,Home
environment,indoor
ambient_temp_c,21
battery_id,B2
battery_cycles,4
operator_notes,
started_iso,2026-08-30T06:41:57.302750+00:00
dry_run,False
sdk_version,30
serial_number,0TQZGAJED007GD
battery_at_start,55
battery_at_end,48
ended_iso,2026-08-30T06:44:57.813083+00:00
duration_sec,167.0
