key,value
session_id,FP-02
venue,Home
environment,indoor
ambient_temp_c,22
battery_id,B1
battery_cycles,7
operator_notes,
started_iso,2026-08-31T06:38:42.688275+00:00
dry_run,False
sdk_version,30
serial_number,0TQZGAJED007GD
battery_at_start,87
mode,baseline
battery_at_end,52
ended_iso,2026-08-31T06:43:31.196993+00:00
duration_sec,275.0
