key,value
session_id,FAULT-LINK-01
venue,Home
environment,indoor
ambient_temp_c,21
battery_id,B2
battery_cycles,13
operator_notes,
started_iso,2026-09-02T04:52:54.733956+00:00
dry_run,False
sdk_version,30
serial_number,0TQZGAJED007GD
battery_at_start,93
mode,link
battery_at_end,77
ended_iso,2026-09-02T04:53:31.026636+00:00
duration_sec,36.02
