session,mode,alert,t_onset_elapsed_sec,t_onset_iso,t_alert_elapsed_sec,detection_latency_sec,t_induce_elapsed_sec,transient_crossings,outcome
FP-02_20260831_163842,baseline,DroneLowBattery,,,,,,0,-
FP-02_20260831_163842,baseline,DroneOverTemperature,,,238.0,,,1,"fired, no onset in telemetry"
FP-02_20260831_163842,baseline,DroneUnstableAttitude,,,,,,5,-
FP-02_20260831_163842,baseline,DroneBarometricDrift,,,,,,0,-
FP-02_20260831_163842,baseline,DronePollFailure,,,0.0,,,0,"fired, no onset in telemetry"
