key,value
session_id,FAULT-LINK-01
venue,Home
environment,indoor
ambient_temp_c,21
battery_id,B2
battery_cycles,13
operator_notes,
started_iso,2026-09-02T04:55:18.425734+00:00
dry_run,False
sdk_version,30
serial_number,0TQZGAJED007GD
battery_at_start,73
mode,link
battery_at_end,34
ended_iso,2026-09-02T05:00:08.664692+00:00
duration_sec,290.02
